BookId,Author,AuthorId,Title,Work,Series,SeriesId,Entry,Published,Language,Pages,Gender,Nationality
9556,,,,,,,,,,,male,jp
9557,,,,,,,,,,,male,jp
9595,,,,,,,,,,,male,us
10374,,,,,,,,,,,male,jp
12012,,,,,,,,,,,male,gb
12014,,,,,,,,,,,male,gb
12021,,,,,,,,,,,male,gb
12022,,,,,,,,,,,male,gb
12023,,,,,,,,,,,male,gb
28417,,,,,,,,,,,male,fr
38290,,,,,,,,,,,male,us
47989,,,,,,,,,,,male,gb
68041,,,,,,,,,,,female,us
70933,,,,,,,,,,,male,jp
115069,,,,,,,,,,,male,fr
116296,,,,,,,,,,,male,gb
129135,,,,,,,,,,,male,gb
168663,,,,,,,,,,,male,us
172325,,,,,,,,,,,male,gb
246245,,,,,,,,,,,male,us
254471,,,,,,,,,,,male,fr
288680,,,,,,,,,,,male,gb
290566,,,,,,,,,,,male,gb
290574,,,,,,,,,,,male,gb
347245,,,,,,,,,,,male,us
366649,,,,,,,,,,,male,fr
386373,,,,,,,,,,,male,gb
395949,,,,,,,,,,,male,gb
411181,,,,,,,,,,,male,us
491030,,,,,,,,,,,male,gb
525878,,,,,,,,,,,male,us
535061,,,,,,,,,,,male,gb
567700,,,,,,,,,,,male,gb
578703,,,,,,,,,,,female,gb
597033,,,,,,,,,,,male,gb
601238,,,,,,,,,,,male,gb
601239,,,,,,,,,,,male,gb
618207,,,,,,,,,,,male,gb
618221,,,,,,,,,,,male,gb
621017,,,,,,,,,,,male,us
797189,,,,,,,,,,,male,gb
802929,,,,,,,,,,,male,gb
816920,,,,,,,,,,,male,fr
816921,,,,,,,,,,,male,fr
816926,,,,,,,,,,,male,fr
818108,,,,,,,,,,,male,jp
818109,,,,,,,,,,,male,jp
827620,,,,,,,,,,,male,gb
833420,,,,,,,,,,,male,gb
833422,,,,,,,,,,,male,gb
833424,,,,,,,,,,,male,gb
833426,,,,,,,,,,,male,gb
833427,,,,,,,,,,,male,gb
833436,,,,,,,,,,,male,gb
833444,,,,,,,,,,,male,gb
854442,,,,,,,,,,,male,fr
873150,,,,,,,,,,,male,us
881962,,,,,,,,,,,male,us
886123,,,,,,,,,,,male,gb
886124,,,,,,,,,,,male,gb
886126,,,,,,,,,,,male,gb
945456,,,,,,,,,,,male,us
956320,,,,,,,,,,,male,fr
956321,,,,,,,,,,,male,fr
956323,,,,,,,,,,,male,fr
956325,,,,,,,,,,,male,fr
956343,,,,,,,,,,,male,fr
956690,,,,,,,,,,,male,fr
956700,,,,,,,,,,,male,fr
956702,,,,,,,,,,,male,fr
956703,,,,,,,,,,,male,fr
1002666,,,,,,,,,,,male,fr
1002667,,,,,,,,,,,male,fr
1031449,,,,,,,,,,,male,fr
1041744,,,,,,,,,,,male,us
1291492,,,,,,,,,,,male,gb
1367032,,,,,,,,,,,male,fr
1367034,,,,,,,,,,,male,fr
1367035,,,,,,,,,,,male,fr
1367038,,,,,,,,,,,male,fr
1367052,,,,,,,,,,,male,fr
1367070,,,,,,,,,,,male,fr
1367083,,,,,,,,,,,male,fr
1424361,,,,,,,,,,,male,fr
1992920,,,,,,,,,,,female,gb
2104289,,,,,,,,,,,female,us
2205702,,,,,,,,,,,male,us
2366570,,,,,,,,,,,male,fr
2855034,,,,,,,,,,,male,gb
3071647,,,,,,,,,,,male,fr
3091710,,,,,,,,,,,male,gb
3110594,,,,,,,,,,,female,fr
6250169,,,,,,,,,,,male,gb
6388919,,,,,,,,,,,male,fr
6731148,,,,,,,,,,,male,gb
7022275,,,,,,,,,,,male,United Kingdom of Great Britain and Ireland
7576115,,,,,,,,,,,male,gb
7828637,,,,,,,,,,,male,gb
7886744,,,,,,,,,,,male,Colonial Nigeria
8310983,,,,,,,,,,,male,Colonial Nigeria
8852037,,,,,,,,,,,male,fr
8882740,,,,,,,,,,,male,Colonial Nigeria
8935689,,,,,,,,,,,male,gb
9543421,,,,,,,,,,,male,gb
12640243,,,,,,,,,,,female,gb
13069502,,,,,,,,,,,male,fr
13499942,,,,,,,,,,,male,fr
15788554,,,,,,,,,,,female,us
15995616,,,,,,,,,,,male,us
16156698,,,,,,,,,,,male,gb
17119440,,,,,,,,,,,male,gb
17242485,,,,,,,,,,,male,gb
17280942,,,,,,,,,,,male,fr
17735116,,,,,,,,,,,male,us
18109791,,,,,,,,,,,female,us
18131144,,,,,,,,,,,male,gb
18231105,,,,,,,,,,,male,gb
18363319,,,,,,,,,,,male,fr
18591321,,,,,,,,,,,female,us
20493713,,,,,,,,,,,male,gb
20555440,,,,,,,,,,,male,gb
20618571,,,,,,,,,,,male,fr
20636970,,,,,,,,,,,male,fr
21044813,,,,,,,,,,,male,gb
21091693,,,,,,,,,,,female,us
23533039,,,,,,,,,,,female,us
23653503,,,,,,,,,,,male,fr
25965499,,,,,,,,,,,male,gb
27281602,,,,,,,,,,,male,fr
28595808,,,,,,,,,,,male,gb
29418262,,,,,,,,,,,male,fr
31226479,,,,,,,,,,,male,gb
32828220,,,,,,,,,,,male,gb
35476010,,,,,,,,,,,female,us
39073893,,,,,,,,,,,male,fr
